timestamp_ns,timestamp_sec,leg_front_r_2,leg_front_l_1,leg_front_l_2,leg_front_r_1,leg_front_l_3,leg_front_r_3,leg_back_r_1,leg_back_r_3,leg_back_l_1,leg_back_r_2,leg_back_l_2,leg_back_l_3
1761178630905567349,1761178630.9055672,-0.1399974060058593,-0.06366565704345706,0.18119613647460936,0.07625415802001956,-0.20301910400390621,0.23811431884765621,-0.022166938781738255,0.2980069732666015,0.06184074401855466,-0.08239452362060545,0.4035958480834961,-0.2548999404907226
1761178630946973587,1761178630.9469738,-0.1358012390136718,-0.10982349395751956,0.16746322631835936,0.12584617614746096,-0.10002132415771481,0.1381673431396484,-0.019496650695800755,0.18051239013671871,0.06069633483886716,-0.08887950897216795,0.4035958480834961,-0.1171865081787109
1761178630982763341,1761178630.9827633,-0.1266459655761718,-0.14072349548339846,0.16174118041992186,0.15407493591308596,-0.014570198059081996,0.057676277160644496,-0.020259590148925755,0.0897206878662109,0.05878898620605466,-0.08849803924560545,0.4032143783569336,-0.009229621887206996
1761178631017827430,1761178631.0178273,-0.1102418136596679,-0.17047813415527346,0.16174118041992186,0.18230464935302737,0.03921798706054691,0.0050325012207030895,-0.033611030578613255,0.010374031066894496,0.05268547058105466,-0.08887950897216795,0.4032143783569336,0.08766559600830082
1761178631061651136,1761178631.0616512,-0.0991791915893554,-0.22007015228271487,0.16212265014648436,0.22655513763427737,0.15442279815673832,-0.10101703643798832,-0.009196968078613255,-0.13267902374267582,0.005763740539550755,-0.08620922088623045,0.4001626205444336,0.24559597015380863
1761178631109263706,1761178631.1092637,-0.0987977218627929,-0.22159603118896487,0.16212265014648436,0.22731807708740237,0.15785697937011722,-0.10445026397705082,-0.007671089172363255,-0.13496784210205082,0.004237861633300755,-0.08582775115966795,0.4001626205444336,0.24864772796630863
1761178631144850466,1761178631.1448505,-0.0877350997924804,-0.24486663818359378,0.16250411987304686,0.2563107299804688,0.22766689300537113,-0.17464260101318363,0.02017715454101565,-0.19447807312011722,-0.03352859497070315,-0.07705394744873045,0.4005440902709961,0.32570652008056644
1761178631184716258,1761178631.1847162,-0.0865906906127929,-0.2544033813476563,0.16212265014648436,0.2639401245117188,0.25971035003662113,-0.20439723968505863,0.03391006469726565,-0.22156337738037113,-0.04535415649414065,-0.07362071990966795,0.4009255599975586,0.35507968902587894
1761178631222679590,1761178631.2226796,-0.0816315841674804,-0.2685177612304688,0.16364852905273436,0.2723324584960938,0.29709533691406254,-0.23262695312500004,0.04230239868164065,-0.24254421234130863,-0.05946853637695315,-0.05759899139404295,0.4013070297241211,0.38674263000488285
1761178631257425749,1761178631.2574255,-0.0781983566284179,-0.2788174438476563,0.16441146850585936,0.2849209594726563,0.32150939941406254,-0.25475219726562504,0.05908706665039065,-0.27077297210693363,-0.07320144653320315,-0.05721752166748045,0.4001626205444336,0.41726020812988285
1761178631296124100,1761178631.2961242,-0.0698060226440429,-0.2906430053710938,0.16441146850585936,0.2959835815429688,0.34859470367431644,-0.28298095703125004,0.07167652130126956,-0.29747680664062504,-0.08960559844970706,-0.05531017303466795,0.3986367416381836,0.42946723937988285
1761178631331249918,1761178631.33125,-0.06064979553222649,-0.2982723999023438,0.16479293823242186,0.3051398086547852,0.36804965972900394,-0.30854038238525394,0.07930591583251956,-0.31731323242187504,-0.11020496368408206,-0.05454723358154295,0.3852853012084961,0.43328193664550785
1761178631367866480,1761178631.3678663,-0.05912391662597649,-0.3097174453735352,0.16555587768554686,0.3127692031860352,0.39055637359619144,-0.33409885406494144,0.08769824981689456,-0.34096435546875004,-0.11859729766845706,-0.05416576385498045,0.3768929672241211,0.45159343719482425
1761178631402703924,1761178631.4027038,-0.05912391662597649,-0.3188727188110352,0.16555587768554686,0.3203985977172852,0.40886787414550785,-0.35775093078613285,0.09723499298095706,-0.36156467437744144,-0.11936023712158206,-0.05569164276123045,0.3612527084350586,0.46341899871826175
1761178631436587240,1761178631.4365873,-0.05912391662597649,-0.3249762344360352,0.16555587768554686,0.3265021133422852,0.43175605773925785,-0.37796882629394535,0.09761646270751956,-0.37529758453369144,-0.11897876739501956,-0.05454723358154295,0.3433236312866211,0.48211101531982425
1761178631474710676,1761178631.4747107,-0.05912391662597649,-0.3314612197875977,0.16555587768554686,0.3348944473266602,0.45426277160644535,-0.40085700988769535,0.10295703887939456,-0.40276340484619144,-0.11897876739501956,-0.05302135467529295,0.33111564636230467,0.5095777893066407
1761178631509315936,1761178631.5093157,-0.05912391662597649,-0.3413794326782227,0.16555587768554686,0.3406164932250977,0.47867778778076175,-0.41802314758300785,0.10181262969970706,-0.43099311828613285,-0.11936023712158206,-0.05187694549560545,0.31394950866699217,0.5374250793457032
1761178631543981052,1761178631.543981,-0.05797950744628899,-0.3497717666625977,0.16555587768554686,0.3463385391235352,0.5038547897338868,-0.43519023895263675,0.10143115997314456,-0.45998481750488285,-0.12126758575439456,-0.05149547576904295,0.30670158386230467,0.5626020812988282
1761178631577390535,1761178631.5773907,-0.05645362854003899,-0.3581641006469727,0.16631881713867186,0.3535864639282227,0.5255985641479493,-0.45426372528076175,0.09952381134033206,-0.48783306121826175,-0.12279346466064456,-0.05149547576904295,0.29487602233886717,0.5904503250122071
1761178631611978516,1761178631.6119785,-0.05645362854003899,-0.3657944488525391,0.16631881713867186,0.3600724029541016,0.5404768371582032,-0.47181133270263675,0.09952381134033206,-0.5122471237182618,-0.12241199493408206,-0.05149547576904295,0.28343193054199217,0.6099052810668946
