timestamp_ns,timestamp_sec,leg_front_r_2,leg_front_l_1,leg_front_l_2,leg_front_r_1,leg_front_l_3,leg_front_r_3,leg_back_r_1,leg_back_r_3,leg_back_l_1,leg_back_r_2,leg_back_l_2,leg_back_l_3
1761180109406134673,1761180109.4061348,0.26207836151123054,-0.4466669845581055,0.3570565414428711,0.5565321731567383,0.7933950805664063,-0.948656120300293,0.5759871292114258,-1.3949814224243164,-0.469173698425293,0.2555924224853516,0.31776420593261717,0.9314890289306641
1761180109446470835,1761180109.446471,0.26474864959716804,-0.4474299240112305,0.3623971176147461,0.5565321731567383,0.7945394897460938,-0.948656120300293,0.5756056594848633,-1.3949814224243164,-0.469173698425293,0.2567368316650391,0.31814567565917967,0.9314890289306641
1761180109482759054,1761180109.4827592,0.26627452850341804,-0.4474299240112305,0.3643044662475586,0.5565321731567383,0.7949209594726563,-0.9482746505737305,0.5744612503051758,-1.394599952697754,-0.469173698425293,0.2567368316650391,0.31776420593261717,0.9314890289306641
1761180109518648205,1761180109.5186484,0.26703746795654304,-0.4474299240112305,0.3643044662475586,0.5561507034301758,0.7960653686523438,-0.948656120300293,0.5687392044067383,-1.393837013244629,-0.469173698425293,0.2567368316650391,0.31776420593261717,0.9318704986572266
1761180109558659452,1761180109.5586593,0.26703746795654304,-0.4474299240112305,0.3643044662475586,0.5565321731567383,0.7972097778320313,-0.9482746505737305,0.5668318557739258,-1.393074073791504,-0.4687922286987305,0.2571183013916016,0.31776420593261717,0.9314890289306641
1761180109595697744,1761180109.5956976,0.26703746795654304,-0.4474299240112305,0.3643044662475586,0.5565321731567383,0.7972097778320313,-0.948656120300293,0.5660689163208008,-1.393074073791504,-0.4687922286987305,0.2582627105712891,0.31776420593261717,0.9318704986572266
1761180109632195505,1761180109.6321955,0.26703746795654304,-0.4474299240112305,0.3643044662475586,0.5561507034301758,0.7972097778320313,-0.948656120300293,0.5607273864746094,-1.3934555435180664,-0.4687922286987305,0.2750483322143555,0.31776420593261717,0.9314890289306641
1761180109665884582,1761180109.6658847,0.26703746795654304,-0.4481928634643555,0.3646859359741211,0.5557692337036133,0.7972097778320313,-0.948656120300293,0.5496647644042969,-1.3934555435180664,-0.469173698425293,0.3200617599487305,0.31776420593261717,0.9307260894775391
1761180109699884649,1761180109.6998847,0.26703746795654304,-0.449337272644043,0.3646859359741211,0.5557692337036133,0.7972097778320313,-0.948656120300293,0.5363133239746094,-1.3934555435180664,-0.469173698425293,0.3681278991699219,0.31738273620605467,0.9303446197509766
1761180109734802521,1761180109.7348025,0.26551158905029304,-0.4489558029174805,0.3646859359741211,0.5557692337036133,0.7972097778320313,-0.948656120300293,0.5191471862792969,-1.3934555435180664,-0.469173698425293,0.4226790237426758,0.31700126647949217,0.9307260894775391
